233.7194,300.8425
233.9783,300.9785
233.8246,300.9331
233.7841,300.646
233.7194,300.6838
234.0997,301.0313
234.2615,301.1824
234.4233,301.3864
234.5204,301.5223
234.5204,301.4997
234.5123,301.5223
234.577,301.5827
234.5204,301.5148
234.6175,301.5072
234.4557,301.3864
234.3991,301.2278
234.3344,301.1824
234.3586,301.0465
234.2534,300.9482
234.1321,300.8802
234.0674,300.7896
234.3505,301.1749
234.5285,301.3335
234.7388,301.477
234.7873,301.5374
234.8439,301.5978
234.852,301.7035
234.8035,301.5752
234.8601,301.5827
234.8116,301.477
234.7226,301.4392
234.7064,301.2504
234.6175,301.258
234.5608,301.2504
234.4072,301.0389
234.3667,300.8349
234.4476,300.7216
234.6094,300.9936
234.8116,301.1371
234.763,301.3108
234.8762,301.3562
234.8277,301.3411
234.8924,301.3486
234.9167,301.3562
234.8924,301.2504
234.9167,301.258
234.7226,301.0842
234.6579,301.0087
234.6498,300.9558
234.5689,300.8122
